name,description,location,tags,coordinates.latitude,coordinates.longitude,source_folder,source_file
Fırın,No description available,Türkiye/İstanbul,[],41.012999,28.9313764,nodes,shop.json
Happy Center,No description available,Türkiye/İstanbul,[],41.0120121,28.9316264,nodes,shop.json
Rant,No description available,Türkiye/İstanbul,[],41.0122057,28.9316178,nodes,shop.json
Tavukçu,No description available,Türkiye/İstanbul,[],41.0155435,28.9298556,nodes,shop.json
Behçet Spor,No description available,Türkiye/İstanbul,[],41.0152843,28.9301155,nodes,shop.json
Aydoğan Et&Tavuk,No description available,Türkiye/İstanbul,[],41.0127262,28.9335475,nodes,shop.json
Sezon Kuruyemiş,No description available,Türkiye/İstanbul,[],41.0154462,28.9292456,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0617227,28.9892795,nodes,shop.json
Namlı,No description available,Türkiye/İstanbul,[],41.0620098,28.989258,nodes,shop.json
Cem Açık Parfüm,No description available,Türkiye/İstanbul,[],41.0153953,28.9291055,nodes,shop.json
Tatlıses Çiğköfte,No description available,Türkiye/İstanbul,[],41.0148368,28.9283008,nodes,shop.json
Damak Tadı Taş Fırını - Lahmacun,No description available,Türkiye/İstanbul,[],41.014942,28.9277161,nodes,shop.json
Uludağ Kuruyemiş,No description available,Türkiye/İstanbul,[],41.014776,28.9283974,nodes,shop.json
Metroport AVM,No description available,Türkiye/İstanbul,[],40.9955472,28.8626087,nodes,shop.json
Kadir Has Çocuk Dünyası,No description available,Türkiye/İstanbul,[],40.9959925,28.8643683,nodes,shop.json
Kardeşler Süpermarket,No description available,Türkiye/İstanbul,[],41.0085394,28.8540901,nodes,shop.json
İHE,No description available,Türkiye/İstanbul,[],41.0123867,28.9313279,nodes,shop.json
Büfe,No description available,Türkiye/İstanbul,[],41.0122107,28.931362,nodes,shop.json
Gökhan Gıda,No description available,Türkiye/İstanbul,[],41.0144582,28.9304907,nodes,shop.json
Hazır Piliç,No description available,Türkiye/İstanbul,[],41.0161076,28.9302501,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9610541,28.8240627,nodes,shop.json
Uyum,No description available,İstanbul,[],40.9590942,28.8163454,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.8912155,29.1748935,nodes,shop.json
Birlik Market,No description available,Türkiye/İstanbul,[],40.8873603,29.1793666,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0210032,29.0399888,nodes,shop.json
Fırın,No description available,Türkiye/İstanbul,[],41.0156969,28.9312194,nodes,shop.json
File,No description available,Türkiye/İstanbul,[],41.0072748,29.1385616,nodes,shop.json
Rose Art Souvenir,No description available,Türkiye/İstanbul,[],41.006045,28.9800296,nodes,shop.json
Mis Market,No description available,Türkiye/İstanbul,[],41.0532015,29.2395035,nodes,shop.json
Liila Kozmik Dans,No description available,Türkiye/İstanbul,[],40.9699,29.0668111,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0692748,29.0433961,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0687976,29.0438414,nodes,shop.json
Meydan Market,No description available,Türkiye/İstanbul,[],41.0707778,29.0421492,nodes,shop.json
Macrocenter,No description available,İstanbul,[],41.0580408,29.0355171,nodes,shop.json
Üçler Süpermarket,No description available,Türkiye/İstanbul,[],41.0524222,28.9844788,nodes,shop.json
Carrefour,No description available,Türkiye/İstanbul,[],40.998629,28.8730996,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0865954,29.0122185,nodes,shop.json
Gözde Market,No description available,Türkiye/İstanbul,[],41.0287397,28.9805492,nodes,shop.json
Hic Contemporary Crafts,No description available,Türkiye/İstanbul,[],41.0263043,28.9775326,nodes,shop.json
Bahar Korçan Butik,No description available,Türkiye/İstanbul,[],41.0266038,28.9750422,nodes,shop.json
Bin bavul Vintage,No description available,Türkiye/İstanbul,[],41.0265876,28.9745058,nodes,shop.json
Lilipud Boutique,No description available,Türkiye/İstanbul,[],41.0268299,28.9755672,nodes,shop.json
Atelier 55,No description available,Türkiye/İstanbul,[],41.02817,28.9763887,nodes,shop.json
Aida Pekin,No description available,Türkiye/İstanbul,[],41.0280325,28.9766728,nodes,shop.json
Arzu Kaprol Boutique,No description available,Türkiye/İstanbul,[],41.0264932,28.9751976,nodes,shop.json
Diasa Gümüşpala,No description available,Türkiye/İstanbul,[],40.9797534,28.7409045,nodes,shop.json
Kazancı Mini Market,No description available,Türkiye/İstanbul,[],41.0341122,28.9868346,nodes,shop.json
Carrefour Express,No description available,Türkiye/İstanbul,[],41.0337254,28.984412,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.937368,29.3263697,nodes,shop.json
MMM Migros,No description available,Türkiye/İstanbul,[],40.9999334,29.0729211,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0500543,28.9821672,nodes,shop.json
Roka pastanesi,No description available,Türkiye/İstanbul,[],40.9069282,29.1902358,nodes,shop.json
Carrefour,No description available,Türkiye/İstanbul,[],40.9167457,29.1381249,nodes,shop.json
Maltepe Carrefour,No description available,Türkiye/İstanbul,[],40.9194303,29.1636925,nodes,shop.json
Çağrı,No description available,Türkiye/İstanbul,[],40.9178499,29.1436548,nodes,shop.json
Sok,No description available,Türkiye/İstanbul,[],41.0317684,29.2594361,nodes,shop.json
Yeni Damla Pastanesi,No description available,Türkiye/İstanbul,[],41.1222233,29.0703448,nodes,shop.json
Üçler Süpermarket,No description available,Türkiye/İstanbul,[],41.122356,29.0704788,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0380506,29.0603752,nodes,shop.json
Komşu Fırın,No description available,Türkiye/İstanbul,[],40.9836273,29.0400828,nodes,shop.json
Migros,No description available,Beyoğlu/İstanbul,[],41.0313616,28.9845917,nodes,shop.json
otantik shop,No description available,Türkiye/İstanbul,[],41.0254094,28.9750067,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9789289,28.8502139,nodes,shop.json
Dia,No description available,Türkiye/İstanbul,[],41.0593058,28.9945107,nodes,shop.json
Harman Market,No description available,Türkiye/İstanbul,[],41.0274269,29.0526124,nodes,shop.json
Happy Center,No description available,Türkiye/İstanbul,[],41.0930573,29.0396261,nodes,shop.json
Gülbak Gıda Tic.Ltd.Şti MARKETİM,No description available,Türkiye/İstanbul,[],40.8781964,29.2344818,nodes,shop.json
Gülbak Kasap Marketim,No description available,Türkiye/İstanbul,[],40.8780564,29.2342458,nodes,shop.json
Gülbak Gıda Şube1,No description available,Türkiye/İstanbul,[],40.879733,29.233252,nodes,shop.json
Gülbak Gıda Şube 2,No description available,Türkiye/İstanbul,[],40.878719,29.2310043,nodes,shop.json
Yavuz Pasta Cafe,No description available,Türkiye/İstanbul,[],40.9478035,29.1069781,nodes,shop.json
Grosper,No description available,Türkiye/İstanbul,[],40.9479813,29.1064064,nodes,shop.json
Çağrı Market Küçükyalı,No description available,Türkiye/İstanbul,[],40.9471669,29.1078524,nodes,shop.json
İmren Ciğercisi,No description available,Türkiye/İstanbul,[],40.9901953,28.7718375,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9958087,28.7797371,nodes,shop.json
happycenter,No description available,Türkiye/İstanbul,[],41.0056012,28.653792,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9801867,29.062466,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0101076,28.8010218,nodes,shop.json
Özyer Gıda,No description available,Türkiye/İstanbul,[],41.0111358,28.802084,nodes,shop.json
Çınar Fırın,No description available,Türkiye/İstanbul,[],41.0108322,28.8019928,nodes,shop.json
Madalyon Market,No description available,Türkiye/İstanbul,[],40.8762696,29.2430667,nodes,shop.json
Carrefour,No description available,Türkiye/İstanbul,[],41.0949127,29.0892867,nodes,shop.json
Durak Tekel,No description available,Türkiye/İstanbul,[],41.0419761,28.980795,nodes,shop.json
Seyran Büfe,No description available,Türkiye/İstanbul,[],41.0408377,28.9795646,nodes,shop.json
Büfe,No description available,Türkiye/İstanbul,[],41.0277832,28.9743172,nodes,shop.json
Hakmar,No description available,Türkiye/İstanbul,[],40.8923104,29.2584614,nodes,shop.json
BİM,No description available,İstanbul,[],40.8929704,29.2577171,nodes,shop.json
Güçlü Tekel,No description available,Türkiye/İstanbul,[],41.035185,28.9784433,nodes,shop.json
Kiler,No description available,Türkiye/İstanbul,[],41.008003,28.8717012,nodes,shop.json
Kiler Hipermarket,No description available,Türkiye/İstanbul,[],41.0461645,29.0757331,nodes,shop.json
MM Migros Market,No description available,Türkiye/İstanbul,[],41.0498017,29.077057,nodes,shop.json
Sued Mod Dericilik,No description available,Türkiye/İstanbul,[],41.0240912,28.8229327,nodes,shop.json
İstanbul Halk Ekmek,No description available,Türkiye/İstanbul,[],41.0053474,28.6256669,nodes,shop.json
Carrefoursa Express,No description available,Türkiye/İstanbul,[],41.0085028,28.6255512,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0051669,28.6266185,nodes,shop.json
Onur Market,No description available,Türkiye/İstanbul,[],41.0040211,28.6254654,nodes,shop.json
Alp Gıda,No description available,Türkiye/İstanbul,[],41.0671686,28.9708951,nodes,shop.json
Dia,No description available,Türkiye/İstanbul,[],41.0439356,29.0451366,nodes,shop.json
M1 Real Süpermarket,No description available,Türkiye/İstanbul,[],40.912635,29.2112339,nodes,shop.json
Carrefour,No description available,Türkiye/İstanbul,[],41.0731017,29.0171271,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0724202,29.0183984,nodes,shop.json
Peynirci Fatih,No description available,Türkiye/İstanbul,[],41.0124376,28.9312695,nodes,shop.json
Arı Lokum market,No description available,Türkiye/İstanbul,[],41.0203,28.96157,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0122736,28.9501782,nodes,shop.json
Migros,MM Migros,İstanbul,[],41.0145742,28.9447629,nodes,shop.json
ROZİ KİDS CLUB,No description available,Türkiye/İstanbul,[],41.0093964,28.9559416,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9447797,29.1122315,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.988651,29.085746,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9904631,29.0245606,nodes,shop.json
A101,No description available,Türkiye/İstanbul,[],41.0210309,29.1870471,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0227189,29.1844674,nodes,shop.json
Happy Center,No description available,Türkiye/İstanbul,[],41.0213102,29.1904379,nodes,shop.json
Carrefour Express,No description available,Türkiye/İstanbul,[],41.0211296,29.1884842,nodes,shop.json
Limon Market,No description available,Türkiye/İstanbul,[],41.0259585,29.1813521,nodes,shop.json
Büyüklere Oyuncaklar,No description available,Türkiye/İstanbul,[],41.0675912,29.0015084,nodes,shop.json
MİS-UN,No description available,Türkiye/İstanbul,[],41.0634706,29.0662313,nodes,shop.json
Migros Jet,No description available,Türkiye/İstanbul,[],41.027915,29.190894,nodes,shop.json
Sarıyer Market,No description available,Türkiye/İstanbul,[],40.9451306,29.1127254,nodes,shop.json
Ocakmar,No description available,Türkiye/İstanbul,[],41.0214808,29.1925896,nodes,shop.json
CarrefourSA,No description available,Türkiye/İstanbul,[],41.0248642,29.1877238,nodes,shop.json
Köylüce Market,No description available,Türkiye/İstanbul,[],41.0307402,29.1728155,nodes,shop.json
Çağrı Market,No description available,Türkiye/İstanbul,[],41.018423,29.1922257,nodes,shop.json
Özkuruşlar Hipermarket,No description available,Türkiye/İstanbul,[],41.0158895,29.1907821,nodes,shop.json
Foccaccia,No description available,Türkiye/İstanbul,[],41.0164001,28.6531933,nodes,shop.json
Uyum Süpermarketi,No description available,Türkiye/İstanbul,[],41.0188936,28.6488103,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0188733,28.6509025,nodes,shop.json
Happy Center,No description available,Türkiye/İstanbul,[],41.0160318,28.6550333,nodes,shop.json
Onur Hipermarket İnnovia,No description available,Türkiye/İstanbul,[],41.0208889,28.6567872,nodes,shop.json
Altın Ekmek Dünyası,No description available,Türkiye/İstanbul,[],41.0190746,28.6525954,nodes,shop.json
Lokma Odun Ekmeği,No description available,Türkiye/İstanbul,[],41.01887,28.6489857,nodes,shop.json
Alis Mücevherat,No description available,Türkiye/İstanbul,[],41.0165019,28.6526051,nodes,shop.json
A101,No description available,Türkiye/İstanbul,[],40.9991219,28.6244191,nodes,shop.json
Komşum Market,No description available,İstanbul,[],40.9840891,29.0722059,nodes,shop.json
Şalvarlı,No description available,Türkiye/İstanbul,[],41.0099756,28.6415752,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.005583,28.6213272,nodes,shop.json
Carrefour,No description available,Türkiye/İstanbul,[],41.0107551,28.6586017,nodes,shop.json
Yücel Simit,No description available,Türkiye/İstanbul,[],41.0672799,29.0037296,nodes,shop.json
5M MİGROS TORIUM,No description available,Türkiye/İstanbul,[],41.0035322,28.6875718,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0159314,28.6480387,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0117978,28.6544017,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0722779,28.9988521,nodes,shop.json
KİM Market,No description available,Türkiye/İstanbul,[],41.0691639,28.999874,nodes,shop.json
Özer Ekmek Fırını,No description available,Türkiye/İstanbul,[],41.0715702,28.9985543,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0720636,28.9988789,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0429267,28.999074,nodes,shop.json
Trabzon Lüx ve Odun Ekmek Firini,No description available,Türkiye/İstanbul,[],41.0391663,29.0520841,nodes,shop.json
MMM Migros,No description available,Türkiye/İstanbul,[],41.0114204,29.1802128,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9950292,28.8701692,nodes,shop.json
HappyCenter,No description available,Türkiye/İstanbul,[],41.0643994,28.6997985,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.2050206,29.0732566,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],41.0987593,28.9070028,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0983678,28.9088488,nodes,shop.json
Çağrı,No description available,Türkiye/İstanbul,[],40.9702893,29.1114337,nodes,shop.json
Umut Gıda,No description available,Türkiye/İstanbul,[],41.0985296,28.9087604,nodes,shop.json
İstanbul Halk Ekmek,No description available,Türkiye/İstanbul,[],41.0958432,28.9054813,nodes,shop.json
Kayışdağı Fırını,No description available,Türkiye/İstanbul,[],40.978689,29.1171285,nodes,shop.json
Asbaşak Fırın,No description available,Türkiye/İstanbul,[],41.0579583,29.0721214,nodes,shop.json
Emin Market,No description available,Türkiye/İstanbul,[],41.0580189,29.0712631,nodes,shop.json
Akasya Pastanesi,No description available,Türkiye/İstanbul,[],41.0532888,29.0757224,nodes,shop.json
Çağmar,No description available,Türkiye/İstanbul,[],40.8908275,29.2584496,nodes,shop.json
Sun Gıda 2,No description available,Türkiye/İstanbul,[],40.8920125,29.258428,nodes,shop.json
Dumlupınar Taş Odun Ekmek Fırını,No description available,Türkiye/İstanbul,[],40.8911881,29.2583202,nodes,shop.json
Tatbak,No description available,Türkiye/İstanbul,[],40.8947466,29.2583225,nodes,shop.json
Karmar Süpermarket,No description available,İstanbul,[],40.9836654,29.0720085,nodes,shop.json
ÖzVariş,No description available,Türkiye/İstanbul,[],40.9846181,29.0275247,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9873158,29.0313099,nodes,shop.json
Uzak Işıklar,No description available,Türkiye/İstanbul,[],40.9901888,29.024371,nodes,shop.json
Fenerium,No description available,Türkiye/İstanbul,[],40.9868402,29.0364635,nodes,shop.json
Tüylüoğlu,No description available,Türkiye/İstanbul,[],40.9870463,29.0351994,nodes,shop.json
Damat Tween,No description available,İstanbul,[],40.9595909,29.082633,nodes,shop.json
MM Migros,No description available,Türkiye/İstanbul,[],40.9874904,29.0353706,nodes,shop.json
Elite Gümüş,No description available,Türkiye/İstanbul,[],40.9873617,29.0271366,nodes,shop.json
Sarıoğlu,No description available,Türkiye/İstanbul,[],40.9892874,29.0322375,nodes,shop.json
Bilgeoğlu Baklava & Börek,No description available,Türkiye/İstanbul,[],40.9898723,29.0246852,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9897933,29.0230787,nodes,shop.json
g Lingerie,No description available,Türkiye/İstanbul,[],40.9879091,29.028488,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9891937,29.0267043,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.983703,29.0258335,nodes,shop.json
Güllüoğlu Kadıköy,No description available,Türkiye/İstanbul,[],40.9926625,29.0250245,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],40.9904838,29.0321198,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9784042,29.0660589,nodes,shop.json
Cansu Market,No description available,Türkiye/İstanbul,[],40.8774596,29.0984044,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9698435,29.06616,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9729642,29.0742087,nodes,shop.json
Ova Ekmek & Pasta,No description available,İstanbul,[],40.9728431,29.0741871,nodes,shop.json
Levinson Leather&Fur,No description available,Türkiye/İstanbul,[],40.9862828,28.9081167,nodes,shop.json
Akfırın,No description available,Türkiye/İstanbul,[],40.9868953,29.0255302,nodes,shop.json
A101,No description available,Türkiye/İstanbul,[],40.9881886,29.0249871,nodes,shop.json
BİM,No description available,Türkiye/İstanbul,[],40.9873576,29.0245422,nodes,shop.json
Mahalle Kasabi,No description available,Türkiye/İstanbul,[],40.9992209,29.1415708,nodes,shop.json
Özkuruşlar,No description available,Türkiye/İstanbul,[],40.997692,29.1394344,nodes,shop.json
Ideal,No description available,Türkiye/İstanbul,[],41.0047637,29.1319333,nodes,shop.json
Migros Jet,No description available,Türkiye/İstanbul,[],41.0084163,29.1371995,nodes,shop.json
Carrefour Express,No description available,Türkiye/İstanbul,[],40.9983634,29.1426835,nodes,shop.json
Icer Et,No description available,Türkiye/İstanbul,[],41.0099888,29.1357558,nodes,shop.json
Carrefour Express,No description available,Türkiye/İstanbul,[],40.9969631,29.103901,nodes,shop.json
Panayır,No description available,Türkiye/İstanbul,[],40.9970936,29.1042673,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.004316,29.1310934,nodes,shop.json
Kumbasar Fırın,No description available,Türkiye/İstanbul,[],41.0329969,28.9822686,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0264815,29.1267676,nodes,shop.json
Zara,No description available,Türkiye/İstanbul,[],41.0264931,29.1272907,nodes,shop.json
Komşufırın,No description available,Beyoğlu/İstanbul,[],41.0309525,28.9823627,nodes,shop.json
Grand Bazaar Jewelers,No description available,Istanbul,[],41.0087517,28.9756599,nodes,shop.json
Mavi,No description available,Türkiye/İstanbul,[],41.0337504,28.9780882,nodes,shop.json
Cetinkaya,No description available,Türkiye/İstanbul,[],41.0338355,28.9783082,nodes,shop.json
SNR Shop,No description available,Türkiye/İstanbul,[],41.0338699,28.9784101,nodes,shop.json
Sarar,No description available,Istanbul,[],41.05337,28.988834,nodes,shop.json
Mini Market,No description available,Türkiye/İstanbul,[],41.1557869,28.6743975,nodes,shop.json
Mini Market,No description available,Türkiye/İstanbul,[],41.1557267,28.6747102,nodes,shop.json
Mini Market,No description available,Türkiye/İstanbul,[],41.1550164,28.674556,nodes,shop.json
Migros,No description available,İstanbul,[],40.9953843,29.1070526,nodes,shop.json
UCZ Süpermarket,No description available,Türkiye/İstanbul,[],40.9800511,28.7376339,nodes,shop.json
Bülbül Gıda,No description available,Türkiye/İstanbul,[],40.9755243,29.1528806,nodes,shop.json
Metin Market,No description available,Türkiye/İstanbul,[],41.0059412,29.0441483,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],41.0162608,28.6524369,nodes,shop.json
Tower Shopping Süpermarket,No description available,Türkiye/İstanbul,[],41.0200615,28.6534886,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],41.0196566,28.6516815,nodes,shop.json
Ersin Bakkal,No description available,Türkiye/İstanbul,[],41.0017879,28.8040454,nodes,shop.json
Manolya Pastanesi,No description available,İstanbul,[],40.9757617,29.0686449,nodes,shop.json
Seker Market,No description available,Türkiye/İstanbul,[],41.1015745,28.8955865,nodes,shop.json
Kasap Fuat,No description available,Türkiye/İstanbul,[],41.2468811,29.0366016,nodes,shop.json
Sinem Market&Şarküteri,No description available,Türkiye/İstanbul,[],41.0194348,28.6539412,nodes,shop.json
Macrocenter,No description available,Türkiye/İstanbul,[],41.2088683,29.0229205,nodes,shop.json
Piramit Çarşı,No description available,Türkiye/İstanbul,[],41.1085064,28.8095854,nodes,shop.json
Bayramoğlu Gıda,No description available,Türkiye/İstanbul,[],40.9397649,29.1190316,nodes,shop.json
Akçe Gıda,No description available,Türkiye/İstanbul,[],40.940302,29.1198765,nodes,shop.json
Can Gıda,No description available,Türkiye/İstanbul,[],40.9440643,29.1248842,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9016739,29.1672531,nodes,shop.json
Tekel,No description available,Türkiye/İstanbul,[],40.9020304,29.1675183,nodes,shop.json
Kasap,No description available,Türkiye/İstanbul,[],40.9017347,29.1676208,nodes,shop.json
Migros,No description available,Türkiye/İstanbul,[],40.9532806,29.1003672,nodes,shop.json
Carrefour Express,No description available,Türkiye/İstanbul,[],40.9518454,29.1015005,nodes,shop.json
Şok,No description available,Türkiye/İstanbul,[],40.9519087,29.1014512,nodes,shop.json
Sahil Unlu Mamüller,No description available,Türkiye/İstanbul,[],40.9531596,29.1001038,nodes,shop.json
